Restaurant_name,Location,Average_rating,delivery_vs_dine_in_preference,Popular_cuisines,Open_day,Closed_day,Honest_review,overall_review,Links,operational_hours
"air - an ivory region","club road, punjabi bagh, new delhi",4,"{'delivery_rating': 4.0, 'dine_in_rating': 4.0, 'preference': 'Equal'}","virgin mojito mocktail, pink pasta, sandwich platter, chicken maggi, crispy chilli potatoes, walnut brownie",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 1, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/air-an-ivory-region-punjabi-bagh-new-delhi,12
"silbuttah - the indian story by berco's","vishal enclave, new delhi",4.4,"{'delivery_rating': 4.0, 'dine_in_rating': 4.7, 'preference': 'Dine-in'}","excellent food, nice food, great service, ambience, elaborate menu, fresh food",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 4, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/silbuttah-the-indian-story-by-bercos-rajouri-garden-new-delhi,11
"the chocolate room","vishal enclave, new delhi",4,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 3.8, 'preference': 'Delivery'}","1,200 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/the-chocolate-room-1-rajouri-garden-new-delhi,1
"castle's barbeque","janakpuri, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","1,500 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/castles-barbeque-janakpuri-new-delhi,11
"pinch of spice","vishal enclave, new delhi",4.4,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","pan shot, sizzling brownie, cigar roll, rara chicken, manchow soup, mocktail",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 4, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/pinch-of-spice-rajouri-garden-new-delhi,12
"the dom","north west avenue, new delhi",3.1,"{'delivery_rating': 2.0999999046325684, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","best staff, sanitised service, nice concept, variety of pizza, clean and hygienic place, served quickly",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 2, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/the-dom-1-punjabi-bagh-new-delhi,13
"the yellow chilli","rajouri garden, new delhi",4.2,"{'delivery_rating': 4.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","1,000 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 1, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/the-yellow-chilli-2-rajouri-garden-new-delhi,11
"raftaar - the high speed lounge & bar","club road, punjabi bagh, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","mutton rezala, mushroom kabab, pan mojito, mezze platter, cocktails, dahi ke kebab",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/raftaar-the-high-speed-lounge-bar-punjabi-bagh-new-delhi,13
"ikk panjab","rajouri garden, new delhi",4.3,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","meat wale chawal, bunta cocktails, jalebi with rabri, burrah kebab, chana kulcha, rose lassi",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 2, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/ikk-panjab-rajouri-garden-new-delhi,12
"local heights","punjabi bagh, new delhi",3.6,"{'delivery_rating': 3.5, 'dine_in_rating': 3.8, 'preference': 'Dine-in'}","great food great service, booking, variety of pizza, good music, weekend brunch, family crowd",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/local-heights-punjabi-bagh-new-delhi,12
asur,"karampura, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","1,800 for two people (approx.) with alcohol",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/asur-1-karampura-new-delhi,13
sesh,"west patel nagar, new delhi",1.8,"{'delivery_rating': 0.0, 'dine_in_rating': 3.7, 'preference': 'Dine-in'}","1,500 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 1, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/sesh-1-west-patel-nagar-new-delhi,22
"cafe olgaa","paschim vihar, new delhi",4,"{'delivery_rating': 3.9000000953674316, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","weekend brunch, family crowd, good music, elaborate menu, young crowd, customizable food",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/cafe-olgaa-paschim-vihar-new-delhi,12
"the backyard","north west avenue, new delhi",3.8,"{'delivery_rating': 3.5, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}","mezze platter, grilled chicken, sushi, pastas, mocktails, beer",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/the-backyard-punjabi-bagh-new-delhi,13
"markaz cafe & lounge","moti nagar, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 3.9, 'preference': 'Dine-in'}","grilled chicken steak, soya chaap, oreo shake, chilli chicken, brownie, chicken tikka",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/markaz-cafe-lounge-moti-nagar-new-delhi,9
"zurii delhi","club road, punjabi bagh, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","tequila sunrise, smoothies, mocktail, shakes, drinks, pizza",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 4, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/zurii-delhi-1-punjabi-bagh-new-delhi,11
"chai point","kirti nagar metro station, kirti nagar, new delhi",3.9,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 3.8, 'preference': 'Delivery'}","400 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/chai-point-kirti-nagar-new-delhi,24
"house of wok prive","punjabi bagh, new delhi",4,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 3.9, 'preference': 'Delivery'}","1,800 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/house-of-wok-prive-punjabi-bagh-new-delhi,11
"jamie oliver kitchen cafe","rajouri garden, new delhi",3.8,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 3.6, 'preference': 'Delivery'}","300 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/jamie-oliver-kitchen-cafe-rajouri-garden-new-delhi,12
"mr papa chinese and fast food","paschim vihar, new delhi",3.5,"{'delivery_rating': 3.5, 'dine_in_rating': 3.5, 'preference': 'Equal'}","300 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/mr-papa-chinese-and-fast-food-paschim-vihar-new-delhi,24
"khalsa parivar restaurant","mayapuri phase 2, new delhi",4,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 3.9, 'preference': 'Delivery'}","mutton barra, keema kaleji, tawa chicken, veg manchurian, meat, butter chicken",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/khalsa-parivar-restaurant-mayapuri-phase-2-new-delhi,12
24seven,"kirti nagar, new delhi",3.9,"{'delivery_rating': 3.9000000953674316, 'dine_in_rating': 3.8, 'preference': 'Delivery'}","300 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/24seven-1-kirti-nagar-new-delhi,24
"castle's barbeque","janakpuri, new delhi",3.1,"{'delivery_rating': 3.700000047683716, 'dine_in_rating': 2.5, 'preference': 'Delivery'}","300 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/castles-barbeque-1-janakpuri-new-delhi,12
"cafe coffee day","paschim vihar, new delhi",3.8,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 3.4, 'preference': 'Delivery'}","sit and read, soft music, young crowd, cafe, nice place, timely service",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/cafe-coffee-day-paschim-vihar-delhi,24
"teo - lounge & bar","north west avenue, new delhi",4.1,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","brownie ice cream, mocktail, chilli paneer, spring roll, brownie, cheesecake",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/teo-lounge-bar-punjabi-bagh-new-delhi,12
"cafe delhi heights","pacific mall (tagore garden), new delhi",4.4,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","makhani maggi, juicy lucy, whole wheat pasta, pan fried noodles, banoffee pie, panneer butter masala",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/cafe-delhi-heights-tilak-nagar-new-delhi,12
"punjab grill","pacific mall (tagore garden), new delhi",4.1,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","veg kurkuri, saag gosht, meat punjab grill, pan shot, butter chicken kulcha, murg lababdar",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/punjab-grill-tagore-garden-new-delhi,11
"mosaic - sk premium park","sk premium park, jail road, new delhi",1.6,"{'delivery_rating': 0.0, 'dine_in_rating': 3.2, 'preference': 'Dine-in'}","2,000 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 4, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/mosaic-sk-premium-park-mayapuri-new-delhi,24
"lord club","naraina, new delhi",1.8,"{'delivery_rating': 0.0, 'dine_in_rating': 3.5, 'preference': 'Dine-in'}","1,500 for two people (approx.) with alcohol",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/lord-club-naraina-new-delhi,24
"monga restaurant punjabi flavours","rajouri garden, new delhi",3.9,"{'delivery_rating': 3.9000000953674316, 'dine_in_rating': 3.9, 'preference': 'Delivery'}","student crowd, young crowd, customizable food, food presentation, tamper proof packaging, contactless delivery",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 2, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/monga-restaurant-punjabi-flavours-rajouri-garden-new-delhi,24
"the crispy bites","pitampura, new delhi",3.5,"{'delivery_rating': 3.299999952316284, 'dine_in_rating': 3.7, 'preference': 'Dine-in'}","500 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 1, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/the-crispy-bites-1-pitampura-new-delhi,24
"cake point","moti nagar, new delhi",3.5,"{'delivery_rating': 3.4000000953674316, 'dine_in_rating': 3.6, 'preference': 'Dine-in'}","cute packaging, food presentation, great portions, extensive menu, timely service, delicious food",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/cake-point-moti-nagar-new-delhi,24
"punjabi express","jail road, new delhi",3.8,"{'delivery_rating': 4.0, 'dine_in_rating': 3.7, 'preference': 'Delivery'}","best food under best budget, fresh food, good quality, value for money",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 1, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/punjabi-express-1-jail-road-new-delhi,24
"big yellow door","north west avenue, new delhi",4,"{'delivery_rating': 4.0, 'dine_in_rating': 4.0, 'preference': 'Equal'}","garlic pizza bread, cheese bomb burger, choclate shake, oreo shake, pastas, mojito",Mon,Fri,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/big-yellow-door-punjabi-bagh-new-delhi,11
pizzaexpress,"rajouri garden, new delhi",4.2,"{'delivery_rating': 3.9000000953674316, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","server, excellent service, ambience, great service, great food, staff",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/pizzaexpress-rajouri-garden-new-delhi,2
"sky rozo","janakpuri, new delhi",4.2,"{'delivery_rating': 4.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","young crowd, ambience, fresh food, staff, good quality, experience",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/sky-rozo-janakpuri-new-delhi,13
ilios,"rajouri garden, new delhi",4.2,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.1, 'preference': 'Delivery'}","2,000 for two people (approx.) without alcohol",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/ilios-rajouri-garden-new-delhi,12
kohu,"punjabi bagh, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 3.9, 'preference': 'Dine-in'}","1,800 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/kohu-punjabi-bagh-new-delhi,13
"miraco - proudly vegetarian","paschim vihar, new delhi",3.9,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}","elaborate menu, music, ambiance, fresh food, good quality, staff",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/miraco-proudly-vegetarian-paschim-vihar-new-delhi,11
"firangi island","kirti nagar, new delhi",3.9,"{'delivery_rating': 3.700000047683716, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","smoked chicken tikka, murg afghani, tomato basil soup, peri chicken, paneer makhani, iced tea",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/firangi-island-kirti-nagar-new-delhi,9
"oscar luxe club","rajouri garden, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","1,000 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 2, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/oscar-luxe-club-rajouri-garden-new-delhi,12
"doodle's garden","north west avenue, new delhi",4.3,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.5, 'preference': 'Dine-in'}","sharabi kebab tikka, dragon chicken, fried icecream, kiwi drink, strawberry mojito, cigar roll",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/doodles-garden-punjabi-bagh-new-delhi,14
"cafe another day","janakpuri, new delhi",4.1,"{'delivery_rating': 3.9000000953674316, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","cheese fritters, grilled chicken steak, smoothie, peri peri fries, cappuccino, pav bhaji",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/cafe-another-day-janakpuri-new-delhi,11
"berco's - if you love chinese","vishal enclave, new delhi",4,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","salt pepper chicken, thai crispy, juicy chicken drumsticks, crispy honey chilli potato, chicken momo, sweet corn soup",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/bercos-if-you-love-chinese-rajouri-garden-new-delhi,11
"red chilli","paschim vihar, new delhi",3.9,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 3.8, 'preference': 'Delivery'}","boneless chicken, dal makhani, starters, butter chicken",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 4, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/red-chilli-paschim-vihar-new-delhi,13
"the coffee bean & tea leaf","epicuria, rajouri garden, new delhi",4.3,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.3, 'preference': 'Delivery'}","interior, family crowd, good wifi, student crowd, young crowd, customizable food",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/the-coffee-bean-tea-leaf-1-rajouri-garden-new-delhi,15
"tippling street","vishal enclave, new delhi",4.3,"{'delivery_rating': 4.400000095367432, 'dine_in_rating': 4.2, 'preference': 'Delivery'}","baked nacho, punjabi kukkad, chicken club sandwiches, bbq pizza, shisha, kit kat shake",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 2, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/tippling-street-rajouri-garden-new-delhi,13
"karigari by chef harpal singh sokhi","punjabi bagh, new delhi",3.9,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","1,500 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/karigari-by-chef-harpal-singh-sokhi-punjabi-bagh-new-delhi,11
"rajouri house cafe","rajouri garden, new delhi",3.7,"{'delivery_rating': 3.4000000953674316, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","portion size, value for money, food quality, packaging",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 1, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/rajouri-house-cafe-rajouri-garden-new-delhi,11
"arriba luxury sky lounge","punjabi bagh, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","2,000 for two people (approx.) without alcohol",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/arriba-luxury-sky-lounge-punjabi-bagh-new-delhi,12
"cafe after hours","gourmet hub, paschim vihar, new delhi",3.9,"{'delivery_rating': 3.5999999046325684, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","chilly paneer, chicken malai tikka, cheesecake, veg platter, mocktails, drink",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/cafe-after-hours-paschim-vihar-new-delhi,13
dasaprakash,"rajouri garden, new delhi",4.3,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.5, 'preference': 'Dine-in'}","excellent service, ambience, portion size, staff, value for money, taste",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 2, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/dasaprakash-rajouri-garden-new-delhi,16
"tim hortons","punjabi bagh, new delhi",4.3,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.2, 'preference': 'Delivery'}","good wifi, weekend brunch, good music, customizable food, good staff, elaborate menu",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/tim-hortons-punjabi-bagh-new-delhi,15
"noura by droots","pitampura, new delhi",3.8,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 3.9, 'preference': 'Dine-in'}","red pasta, chicken malai tikka, pav bhaji, paneer tikka, momos, pizza",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/noura-by-droots-pitampura-new-delhi,12
"spezia bistro","pacific mall (tagore garden), new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.5, 'preference': 'Dine-in'}","1,400 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/spezia-bistro-subhash-nagar-new-delhi,11
zoreko,"rajouri garden, new delhi",1.8,"{'delivery_rating': 0.0, 'dine_in_rating': 3.7, 'preference': 'Dine-in'}","2,000 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 1, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/zoreko-rajouri-garden-new-delhi,12
"mealodrama modern bistro","vishal enclave, new delhi",3.8,"{'delivery_rating': 3.5, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","crispy water chestnut, corn poppers, chocolate brownie sizzler, tex mex burger, dahi sholey, cheese balls",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/mealodrama-modern-bistro-rajouri-garden-new-delhi,10
juggernaut,"rajouri garden, new delhi",1.5,"{'delivery_rating': 0.0, 'dine_in_rating': 3.0, 'preference': 'Dine-in'}","elaborate menu, customizable food, good quality, fresh food, staff, taste",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 2, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/juggernaut-rajouri-garden-new-delhi,11
"sky heart lounge and bar","punjabi bagh, new delhi",4.2,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.1, 'preference': 'Delivery'}","cheese poppers, drums of heaven, paneer tikka pizza, veg spring rolls, virgin mojito, cocktails",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/sky-heart-lounge-and-bar-punjabi-bagh-new-delhi,12
btw,"west end mall, janak puri, new delhi",3.8,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 3.9, 'preference': 'Dine-in'}","chole tikki, papri, rajkachori, pao bhaji, tandoori platter, vada",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/btw-janakpuri-new-delhi,24
"miss nora","rajouri garden, new delhi",4.3,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","dimsum platter, udon noodles, pad thai noodles, dimsums, dumplings, chicken",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/miss-nora-rajouri-garden-new-delhi,11
"kocktails & kurries","hotel la, new delhi",3.9,"{'delivery_rating': 3.9000000953674316, 'dine_in_rating': 3.8, 'preference': 'Delivery'}","cashless payments, cleanliness, family crowd, good wifi, young crowd, student crowd",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/kocktails-kurries-pitampura-new-delhi,11
"jamie oliver's italian","pacific mall (tagore garden), new delhi",4,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","funghi misti pizza, lasagna verdure, prawn linguine, mushroom lasagne, strawberry sorbet, pizza alle verdure",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/jamie-olivers-italian-tagore-garden-new-delhi,10
"super chai","paschim vihar, new delhi",3.2,"{'delivery_rating': 3.0, 'dine_in_rating': 3.4, 'preference': 'Dine-in'}","350 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 4, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/super-chai-paschim-vihar-new-delhi,12
"barbeque nation","rajouri garden, new delhi",4,"{'delivery_rating': 4.0, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}","nice service, family crowd, chef, cute packaging, food presentation, nice food",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/barbeque-nation-rajouri-garden-new-delhi,15
